nplv,DT,ПРОФИЛЬ,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,произв  количество плавок,произв количество плавок (цел),расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г683863<887,2070-06-21 02:00:00,Р65,24.0,43.35,17.95,43.35,,0.331665,0.08148999999999999,0.132332,0.13985999999999998,0.0416225,1593.0,1586.0,13.801967999999999,12511.420612799999,115.8,1.0,1.0,1.0,19.871,,0.05,0.34600000000000003,0.061,0.02,0.05280700000000001,0.16,0.204,0.145,3743.0,0.002,0.513,0.35100000000000003,0.107,0.674,0.006999999999999999,0.011000000000000001,0.078,0.008,0.019,0.455,0.002,0.002,0.004,0.77,0.0009,0.41700000000000004,0.10800000000000001,0.7879999999999999,0.006,0.012,0.078,0.008,0.013000000000000001,0.568,0.003,0.038,0.0,58.0,0.8,8.6,0.12,2.6,0.0,,57.2,0.5,8.1,0.13,2.3,
г683863<888,2070-06-21 02:58:00,Р65,17.0,46.1833333,19.8166667,46.1833333,,0.377945,0.133194,0.22160500000000002,0.165186,0.042049699999999995,1589.0,1589.0,12.664958500000001,12998.1497056,116.3,1.0,1.0,1.0,19.497,0.077,0.05,0.39,0.059000000000000004,0.02,0.053349,0.161,0.345,0.237,4293.0,0.002,0.48700000000000004,0.31,0.105,0.611,0.009000000000000001,0.011000000000000001,0.07,0.006,0.02,0.434,0.001,0.001,0.003,0.767,0.0002,0.419,0.10300000000000001,0.795,0.008,0.013000000000000001,0.07,0.006999999999999999,0.013999999999999999,0.5710000000000001,0.003,0.038,0.0,59.8,0.4,6.4,0.11,2.4,0.0,,60.3,0.5,6.3,0.12,2.6,
г683863<978,2070-06-25 02:57:00,Р65,29.0,42.716666700000005,16.6833333,42.716666700000005,2.6237112999999996,0.4335,0.113524,0.189868,0.133175,0.041002699999999996,1595.0,1587.0,9.632774099999999,13245.5544456,115.0,1.0,1.0,1.0,13.716,,0.157,0.371,0.094,0.02,0.051829999999999994,0.125,0.29600000000000004,0.20199999999999999,3683.0,0.001,0.445,0.322,0.098,0.618,0.006999999999999999,0.01,0.069,0.006,0.019,0.445,0.001,0.002,0.003,0.75,0.0001,0.414,0.098,0.785,0.006,0.013000000000000001,0.069,0.006999999999999999,0.013999999999999999,0.565,0.003,0.037000000000000005,0.0,52.5,0.8,14.5,0.15,2.2,0.0,,56.9,0.6,7.9,0.11,2.2,
г683863<979,2070-06-25 03:59:00,Р65,20.0,42.05,18.716666699999998,42.05,2.6927711,0.459085,0.12420199999999999,0.218667,0.192129,0.0404023,1602.0,1590.0,13.9134364,12951.0240427,112.3,1.0,1.0,1.0,19.502,0.19,0.05,0.49200000000000005,0.059000000000000004,0.02,0.051071,0.204,0.33899999999999997,0.221,4040.0,0.001,0.418,0.316,0.12,0.604,0.006999999999999999,0.011000000000000001,0.073,0.006999999999999999,0.021,0.40399999999999997,0.001,0.002,0.003,0.762,0.0002,0.418,0.11800000000000001,0.7959999999999999,0.006,0.013000000000000001,0.073,0.006999999999999999,0.013000000000000001,0.5670000000000001,0.003,0.038,0.0,49.5,0.8,16.5,0.39,1.8,0.0,,50.9,0.3,13.2,0.13,2.0,
г683863<97:,2070-06-25 04:52:00,Р65,23.0,41.6666667,20.1833333,41.6666667,2.8292254,0.45414499999999997,0.088234,0.182319,0.153034,0.040831,1582.0,1596.0,15.848709699999999,13029.5623452,115.8,1.0,1.0,1.0,21.836,,0.05,0.494,0.059000000000000004,0.02,0.051613,0.159,0.28300000000000003,0.157,4383.0,0.002,0.42200000000000004,0.344,0.1,0.644,0.006,0.01,0.069,0.006999999999999999,0.021,0.455,0.002,0.002,0.003,0.7559999999999999,0.0003,0.41600000000000004,0.10099999999999999,0.794,0.005,0.013000000000000001,0.07,0.008,0.017,0.56,0.003,0.037000000000000005,0.0,49.9,0.7,12.8,0.2,2.3,0.0,,49.0,1.0,12.6,0.2,2.2,
г683863<97;,2070-06-25 05:46:00,Р65,20.0,41.7,19.75,41.7,2.6856218,0.358415,0.06687799999999999,0.07337250000000001,0.087436,0.0395439,1570.0,1595.0,11.5726619,13278.9873418,110.8,1.0,1.0,1.0,16.086,0.105,0.05,0.384,0.059000000000000004,0.02,0.049986,0.10400000000000001,0.113,0.11900000000000001,4371.0,0.002,0.478,0.359,0.102,0.718,0.006,0.01,0.066,0.009000000000000001,0.018000000000000002,0.49,0.002,0.002,0.004,0.7559999999999999,0.0004,0.415,0.10099999999999999,0.782,0.005,0.012,0.066,0.009000000000000001,0.016,0.568,0.003,0.037000000000000005,0.0,58.8,0.6,10.4,0.13,2.7,0.0,,61.1,0.4,7.2,0.09,2.6,
г683863<97<,2070-06-25 06:38:00,Р65,18.0,45.55,22.6833333,45.55,2.5764547,0.41383500000000006,0.08148999999999999,0.142817,0.14155,0.041403800000000004,1567.0,1586.0,10.8065862,13191.1829537,115.6,1.0,1.0,1.0,16.408,0.094,0.05,0.447,0.059000000000000004,0.02,0.052337,0.158,0.222,0.145,4987.0,0.002,0.451,0.353,0.10300000000000001,0.6709999999999999,0.006999999999999999,0.011000000000000001,0.073,0.008,0.02,0.457,0.002,0.002,0.004,0.767,0.0004,0.419,0.10300000000000001,0.7929999999999999,0.006,0.013000000000000001,0.073,0.009000000000000001,0.015,0.565,0.003,0.038,0.0,55.4,0.4,10.6,0.15,2.6,0.0,,51.8,0.9,9.2,0.18,2.4,
г683863<97?,2070-06-25 09:34:00,Р65,8.0,41.3333333,17.4833333,41.3333333,2.9575472,0.464805,0.144522,0.2192265,0.1827,0.041289099999999995,1599.0,1590.0,19.2883065,13971.020019100002,116.0,1.0,1.0,1.0,26.575,0.20199999999999999,0.05,0.495,0.034,0.02,0.052191999999999995,0.18899999999999997,0.342,0.259,4071.0,0.001,0.413,0.299,0.10400000000000001,0.588,0.006999999999999999,0.013000000000000001,0.073,0.006999999999999999,0.023,0.405,0.001,0.002,0.003,0.75,0.0003,0.419,0.10300000000000001,0.782,0.006,0.013999999999999999,0.07200000000000001,0.008,0.016,0.56,0.003,0.038,0.0,49.8,0.5,16.6,0.27,1.9,0.0,,55.3,0.4,10.8,0.13,2.2,
г683863<986,2070-06-25 10:30:00,Р65,7.0,40.1833333,14.733333300000002,40.1833333,2.519573,0.4381,0.103788,0.1343175,0.15535,0.038256,1601.0,1591.0,10.7169749,13398.1900452,111.4,1.0,1.0,1.0,14.328,0.047,0.05,0.473,0.024,0.02,0.048358,0.183,0.20800000000000002,0.18600000000000003,3290.0,0.002,0.414,0.327,0.102,0.6609999999999999,0.01,0.012,0.08,0.009000000000000001,0.025,0.414,0.001,0.004,0.003,0.7709999999999999,0.0002,0.41600000000000004,0.1,0.787,0.009000000000000001,0.013999999999999999,0.079,0.01,0.019,0.5579999999999999,0.003,0.039,0.0,50.2,0.6,17.2,0.39,1.9,0.0,,52.9,0.4,14.4,0.14,2.0,
г683863<987,2070-06-25 11:23:00,Р65,8.0,40.2,14.366666699999998,40.2,2.6617647,0.496515,0.128898,0.1946745,0.125525,0.040945800000000004,1606.0,1590.0,10.4514925,13510.440835299998,115.3,1.0,1.0,1.0,14.005,0.057999999999999996,0.05,0.5379999999999999,0.027000000000000003,0.02,0.051758000000000005,0.111,0.305,0.231,3235.0,0.002,0.387,0.309,0.098,0.61,0.008,0.011000000000000001,0.07,0.008,0.023,0.428,0.001,0.002,0.003,0.753,0.0002,0.415,0.096,0.784,0.006999999999999999,0.013000000000000001,0.07,0.008,0.017,0.551,0.003,0.039,0.0,51.3,1.1,16.6,0.3,2.0,0.0,,47.6,0.5,9.4,0.11,2.1,
