nplv,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г6837?3<87?,29.0,45.3666667,24.4,41.0333333,,0.45646,0.059572,0.117446,0.104762,0.0409383,1557.0,1580.0,13.6067425,12809.0163934,115.5,1.0,18.611,,0.17,0.401,0.123,0.02,0.051939,0.112,0.182,0.106,5209.0,0.002,0.389,0.368,0.127,0.682,0.01,0.011,0.086,0.009,0.023,0.459,0.002,0.002,0.003,0.756,0.0001,0.417,0.126,0.779,0.009,0.012,0.086,0.011,0.018,0.559,0.003,0.037,,63.7,1.1,3.7,0.12,2.6,,,53.4,1.0,5.8,0.15,2.6,
г683863<887,24.0,43.35,17.95,43.35,,0.331665,0.08149,0.132332,0.13986,0.0416225,1593.0,1586.0,13.801968,12511.4206128,115.8,1.0,19.871,,0.05,0.346,0.061,0.02,0.052807,0.16,0.204,0.145,3743.0,0.002,0.513,0.351,0.107,0.674,0.007,0.011,0.078,0.008,0.019,0.455,0.002,0.002,0.004,0.77,0.0009,0.417,0.108,0.788,0.006,0.012,0.078,0.008,0.013,0.568,0.003,0.038,,58.0,0.8,8.6,0.12,2.6,,,57.2,0.5,8.1,0.13,2.3,
г683863<888,17.0,46.1833333,19.8166667,46.1833333,,0.377945,0.133194,0.221605,0.165186,0.0420497,1589.0,1589.0,12.6649585,12998.1497056,116.3,1.0,19.497,0.077,0.05,0.39,0.059,0.02,0.053349,0.161,0.345,0.237,4293.0,0.002,0.487,0.31,0.105,0.611,0.009,0.011,0.07,0.006,0.02,0.434,0.001,0.001,0.003,0.767,0.0002,0.419,0.103,0.795,0.008,0.013,0.07,0.007,0.014,0.571,0.003,0.038,,59.8,0.4,6.4,0.11,2.4,,,60.3,0.5,6.3,0.12,2.6,
г683863<889,20.0,48.5,17.0333333,48.5,,0.389875,0.105094,0.169459,0.143024,0.0409667,1597.0,1592.0,10.2983505,12987.4755382,115.0,1.0,16.649,0.082,0.05,0.412,0.035,0.02,0.051975,0.149,0.263,0.187,3687.0,0.002,0.461,0.334,0.105,0.652,0.007,0.011,0.08,0.007,0.02,0.447,0.001,0.002,0.003,0.784,0.0003,0.421,0.105,0.796,0.006,0.013,0.081,0.008,0.017,0.568,0.003,0.037,,59.6,0.7,4.7,0.12,2.4,,,60.3,0.6,4.5,0.09,2.5,
г683863<968,20.0,47.5166667,24.9666667,47.0166667,3.1075312,0.541855,0.14331,0.234872,0.208873,0.0423918,1602.0,1608.0,11.1413683,13320.9612817,118.1,1.0,17.461,0.239,0.05,0.59,0.038,0.02,0.053783,0.223,0.364,0.255,5543.0,0.002,0.363,0.306,0.09,0.608,0.006,0.01,0.072,0.007,0.018,0.397,0.001,0.002,0.003,0.76,0.0006,0.42,0.089,0.802,0.005,0.011,0.072,0.008,0.012,0.566,0.003,0.038,,50.7,0.7,15.1,0.51,2.0,,,59.2,1.0,7.1,0.19,2.2,
г683863<96<,7.0,63.2166667,30.5833333,63.2166667,3.0320988,0.3642,0.124764,0.211057,0.148715,0.0415366,1558.0,1602.0,8.4891661,13885.9945504,115.1,1.0,17.391,0.102,0.05,0.375,0.031,0.02,0.052698,0.14,0.329,0.222,7078.0,0.002,0.501,0.31,0.089,0.622,0.005,0.011,0.061,0.005,0.019,0.466,0.002,0.002,0.003,0.76,0.0003,0.413,0.09,0.79,0.004,0.011,0.062,0.006,0.011,0.546,0.003,0.037,,49.1,1.0,13.6,0.27,2.0,,,59.1,0.5,6.9,0.14,2.2,
г683863<96>,41.0,70.25,33.0333333,70.25,3.2287941,0.31345,0.113524,0.170498,0.115556,0.040054,1540.0,1610.0,9.0640569,13640.7669021,111.6,1.0,21.225,0.141,0.05,0.316,0.06,0.02,0.050817,0.106,0.266,0.202,7510.0,0.001,0.495,0.319,0.119,0.648,0.007,0.011,0.074,0.006,0.021,0.475,0.002,0.002,0.003,0.755,0.0002,0.418,0.115,0.796,0.005,0.014,0.074,0.007,0.017,0.563,0.003,0.038,,55.4,0.3,11.5,0.12,2.3,,,58.2,0.3,7.1,0.1,2.2,
г683863<96?,63.0,46.2,22.3166667,46.2,2.5574572,0.422725,0.111838,0.177815,0.169862,0.0407109,1586.0,1606.0,19.2208923,13348.7677371,115.5,1.0,29.44,0.094,0.05,0.451,0.059,0.02,0.051468,0.187,0.275,0.199,4965.0,0.002,0.434,0.328,0.111,0.648,0.008,0.011,0.074,0.009,0.023,0.424,0.002,0.003,0.003,0.761,0.0005,0.421,0.11,0.808,0.007,0.014,0.074,0.01,0.012,0.579,0.003,0.038,,48.1,0.2,11.3,0.11,2.0,,,52.5,0.4,13.7,0.13,2.0,
г683863<977,15.0,57.9,27.6833333,57.9,2.7623147,0.48357,0.122516,0.200449,0.130291,0.0414892,1561.0,1586.0,8.8518135,13435.5207706,115.5,1.0,17.084,,0.056,0.518,0.132,0.02,0.052445,0.116,0.313,0.218,6199.0,0.002,0.394,0.319,0.103,0.621,0.007,0.01,0.072,0.006,0.021,0.466,0.002,0.002,0.002,0.765,0.0006,0.419,0.102,0.789,0.006,0.012,0.072,0.007,0.019,0.576,0.003,0.038,,61.5,0.4,8.7,0.11,2.6,,,52.9,0.5,14.3,0.09,2.1,
г683863<978,29.0,42.7166667,16.6833333,42.7166667,2.6237113,0.4335,0.113524,0.189868,0.133175,0.0410027,1595.0,1587.0,9.6327741,13245.5544456,115.0,1.0,13.716,,0.157,0.371,0.094,0.02,0.05183,0.125,0.296,0.202,3683.0,0.001,0.445,0.322,0.098,0.618,0.007,0.01,0.069,0.006,0.019,0.445,0.001,0.002,0.003,0.75,0.0001,0.414,0.098,0.785,0.006,0.013,0.069,0.007,0.014,0.565,0.003,0.037,,52.5,0.8,14.5,0.15,2.2,,,56.9,0.6,7.9,0.11,2.2,
