#,химшлак последний Al2O3,химшлак последний CaO,химшлак последний R,химшлак последний SiO2
0,4.7344929175,60.2238316606,2.52,23.7184800887
1,4.3080475531,58.9653133963,2.23,24.4280204902
2,4.2278548424,57.1967858695,2.5,24.5040247044
3,4.219898233,58.1587978137,2.43,24.6018254489
4,4.3502197565,58.3162046793,2.41,24.3936907831
5,4.4209619333,60.4015509311,2.49,24.6915910475
6,4.466974768,57.3459775437,2.48,25.4029118895
7,3.8627642708,55.1180698253,2.13,26.7752039755
8,4.7786982679,56.4924183296,2.35,24.1848521056
9,4.4191755309,55.9527496977,2.14,24.544514861
10,4.3895819868,55.5411257273,2.11,24.1440376238
11,4.1056409559,56.4216020407,2.36,25.6216054066
12,4.3327055705,55.9695994888,2.12,25.0428363232
13,4.1906231839,58.1280044524,2.35,26.3502604091
14,4.2577861744,57.1751921242,2.32,24.6712915213
15,4.4375387702,55.7015343969,2.14,24.530034899
16,4.5546203026,58.1471843063,2.51,24.4481636313
17,4.384561921,56.0310242753,2.17,24.0960766573
18,4.1962634242,55.1341980647,2.1,24.3784799655
19,4.4595202057,55.323525122,2.38,24.4175724697
20,4.5374611301,57.7239415466,2.68,23.5694526405
21,4.532641312,56.8327232655,2.5,24.0597486809
22,4.2092487666,56.4121287672,2.11,24.1090610354
23,4.3484025518,54.7191266444,2.1,24.2346878328
24,4.3819738617,54.5715891653,2.1,23.5688647286
25,4.497583444,54.8496694668,2.1,23.2670125719
26,4.6619551526,55.3342762233,2.1,23.2289636446
27,4.8137946652,56.5657125978,2.44,22.8417744618
28,4.4698614741,55.0713694314,2.1,23.4171666321
29,4.519331611,54.3800639754,2.1,23.4517338422
30,4.6127096249,55.7639370189,2.14,23.4371202949
31,4.9382965051,58.5352982856,2.47,24.1931762573
32,4.7572233212,58.836819004,2.66,23.1174910659
33,4.5191187983,56.6977984938,2.46,23.7487658271
34,4.5480770024,57.4303187782,2.52,23.6688167255
35,4.2921698009,55.8838840804,2.09,24.5357243646
36,4.7197010372,57.1278605257,2.44,24.3381938859
37,4.5173342382,56.4599118932,2.1,23.5280424709
38,4.7613604479,56.720015785,2.39,23.7552001932
39,4.6855027766,56.9794471291,2.41,23.5497444146
40,4.6897128977,57.5120872762,2.38,23.5967815415
41,4.5340875674,55.3855205723,2.41,24.4351359747
42,4.6133507141,55.187552919,2.38,23.6791734305
43,4.6449248069,55.0651438502,2.46,23.1419200421
44,4.7843511801,55.5175119614,2.1,23.3590861458
45,4.7638308932,57.4799843076,2.46,22.9343355317
46,4.935997,58.4375907691,2.46,22.9569301223
47,4.7702538338,57.8829994324,2.49,22.8180290135
48,4.6434539425,57.0188306149,2.33,23.5301843137
49,4.5990164761,55.91056403,2.39,23.6482993816
50,4.8875226493,55.8570949572,2.12,22.935306081
51,4.5535699622,56.3719487774,2.1,23.3416218612
52,4.732251308,56.667702663,2.4,22.9373858081
53,5.0009257966,57.4222150972,2.19,23.2587741807
54,4.9430875172,57.7449008861,2.37,23.5739440753
55,4.6465746715,57.059434036,2.47,23.6043388136
56,4.8897356638,58.671878546,2.25,23.0278705415
57,4.6670221358,55.730589428,2.17,23.4462528288
58,4.7298419578,57.9208873822,2.25,23.7733327206
59,4.4844993943,55.8105705565,2.16,24.5780611413
60,4.6230418388,55.0632374635,2.1,23.4268156263
61,4.6066995492,56.0889594264,2.1,24.4309158477
62,4.5328180749,56.1495846884,2.09,23.8200423037
63,4.460175784,56.015322104,2.12,24.4222186971
64,4.7056222898,56.8066049028,2.37,24.166638588
65,4.4944955723,55.9158732889,2.53,24.1034017551
66,4.6576601219,56.7014586514,2.1,23.5485526131
67,4.2843936244,55.7232255572,2.1,24.481144192
68,4.5248193887,56.7111779657,2.39,24.432822485
69,4.1910019193,55.797958945,2.1,24.647316092
70,4.2770838962,56.2299633368,2.23,25.0318275451
71,4.1666151973,55.1016797177,2.1,24.2620584561
72,4.2368985352,55.7456759595,2.11,24.2749759376
73,4.3313722759,55.4759005985,2.1,24.3790637811
74,4.3630973305,55.3518504925,2.14,24.3908825924
75,4.4476080884,53.9175097394,2.09,24.0143632783
76,4.2896523799,54.9251583308,2.11,24.6761699174
77,4.5498852887,56.950068185,2.37,23.7015804735
78,4.5013463637,56.2708894028,2.17,24.0675069732
79,4.6214297209,55.9534056074,2.09,23.5141886916
80,4.2563919744,54.3574992576,2.09,24.5229364206
81,4.5072901023,56.1486724337,2.44,24.0585120353
82,4.4569426389,56.4021408565,2.49,24.1580766994
83,4.4662420222,54.7806895839,2.49,24.6844655804
84,4.3487940099,55.5714397473,2.14,23.9192308555
85,4.4202111384,53.058095695,2.1,24.205761418
86,4.5649745682,54.5947056097,2.12,23.5842241999
87,4.3652725162,55.9630328014,2.19,23.6903881963
88,4.8747007411,56.2733956078,2.35,22.682510734
89,4.6088794479,55.6104818567,2.12,23.1389867544
90,4.3580589681,56.2855481761,2.21,23.7364673079
91,4.648319845,52.7253352516,2.09,23.3101703504
92,4.5145495598,55.7532644896,2.4,23.5940155194
93,4.308395631,56.5916835291,2.1,24.151987373
94,4.6353911451,57.9475114968,2.35,24.4372674568
95,4.5550262663,55.120857129,2.12,23.7723558044
96,4.9302728221,57.0306806392,2.12,24.0249362655
97,4.5221318661,56.5479133462,2.45,23.5669456013
98,4.5174684755,54.8996722676,2.1,23.8707011777
99,4.7106236925,54.8681622018,2.13,23.9124925554
100,4.3426626676,54.1366757893,2.09,24.2381780825
101,4.3058506665,55.4024059377,2.1,23.9198450625
102,4.5439523659,54.9158457413,2.45,23.9823789311
103,4.5355506608,55.1520961237,2.13,23.6166443952
104,4.661330379,57.1800371686,2.48,23.8286544021
105,4.5519928682,56.3519571995,2.1,23.7061803871
106,4.3772615193,56.5227519201,2.15,24.1291901617
107,4.2789412572,55.2704030348,2.1,24.1913916484
108,4.6200824919,57.0870172711,2.45,24.0748009092
109,4.5015788452,56.8834209857,2.14,24.3164678741
110,4.295351851,56.9152990657,2.1,24.0809530665
